team_id,player_id,game_pk,batting_order,plate_appearances,total_bases,caught_stealing,stolen_bases,stolen_base_percentage,pickoffs,summary,fly_outs,ground_outs,air_outs,runs,doubles,triples,home_runs,strike_outs,base_on_balls,intentional_walks,hits,hit_by_pitch,at_bats,ground_into_double_play,ground_into_triple_play,rbi,left_on_base,sac_bunts,sac_flies,catchers_interference,at_bats_per_home_run
134,663647,745519,3,4,1,0,0,.---,0,"1-4 | K, R",1,1,1,1,0,0,0,1,0,0,1,0,4,0,0,0,4,0,0,0,-.--
134,642133,745519,4,2,0,0,0,.---,0,0-2,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,-.--
134,669261,745519,5,4,0,0,0,.---,0,"0-3 | BB, R",1,2,1,1,0,0,0,0,1,1,0,0,3,0,0,0,1,0,0,0,-.--
134,572191,745519,6,4,0,0,0,.---,0,0-3 | 2 K,0,1,1,0,0,0,0,2,0,0,0,0,3,0,0,0,3,1,0,0,-.--
134,665833,745519,7,4,4,1,0,0,0,"3-4 | 2B, 2 RBI, CS",0,1,0,0,1,0,0,0,0,0,3,0,4,0,0,2,0,0,0,0,-.--
134,680779,745519,8,4,0,0,0,.---,0,"0-3 | BB, 2 K",0,1,0,0,0,0,0,2,1,0,0,0,3,0,0,0,1,0,0,0,-.--
134,675961,745519,9,4,1,0,0,.---,0,1-4 | 2 K,0,1,0,0,0,0,0,2,0,0,1,0,4,0,0,0,2,0,0,0,-.--
116,682985,745107,1,5,1,0,0,.---,0,1-5 | K,2,1,2,0,0,0,0,1,0,0,1,0,5,0,0,0,2,0,0,0,-.--
116,592192,745107,2,5,6,0,0,.---,0,"3-4 | HR, HBP, 2 RBI",1,0,1,2,0,0,1,0,0,0,3,1,4,0,0,2,0,0,0,0,4
116,681481,745107,3,5,2,0,0,.---,0,"1-5 | 2B, RBI",1,1,3,0,1,0,0,0,0,0,1,0,5,0,0,1,4,0,0,0,-.--
116,679529,745107,4,5,0,0,0,.---,0,0-5 | 2 K,0,1,2,0,0,0,0,2,0,0,0,0,5,0,0,0,5,0,0,0,-.--
116,663837,745107,5,4,2,0,0,.---,0,"1-4 | 2B, R",1,0,3,1,1,0,0,0,0,0,1,0,4,0,0,0,3,0,0,0,-.--
116,690993,745107,6,4,0,0,0,.---,0,0-4 | 2 K,1,0,2,0,0,0,0,2,0,0,0,0,4,0,0,0,1,0,0,0,-.--
116,678009,745107,7,4,4,0,0,.---,0,"1-4 | HR, 3 K, RBI",0,0,0,1,0,0,1,3,0,0,1,0,4,0,0,1,1,0,0,0,4
116,595879,745107,8,4,2,0,0,.---,0,"2-4 | K, RBI, 2 R",1,0,1,2,0,0,0,1,0,0,2,0,4,0,0,1,0,0,0,0,-.--
116,668670,745107,9,4,2,0,0,.---,0,"2-3 | HBP, K, R",0,0,0,1,0,0,0,1,0,0,2,1,3,0,0,0,0,0,0,0,-.--
139,642708,745107,1,4,2,1,0,0,0,"2-4 | K, CS",0,0,1,0,0,0,0,1,0,0,2,0,4,0,0,0,0,0,0,0,-.--
139,650490,745107,2,4,1,0,0,.---,0,1-4,1,1,2,0,0,0,0,0,0,0,1,0,4,0,0,0,3,0,0,0,-.--
139,623912,745107,3,4,0,0,0,.---,0,0-4 | 2 K,0,0,2,0,0,0,0,2,0,0,0,0,4,0,0,0,2,0,0,0,-.--
139,668227,745107,4,4,0,0,0,.---,0,0-4 | K,0,3,0,0,0,0,0,1,0,0,0,0,4,0,0,0,1,0,0,0,-.--
139,670623,745107,5,4,2,0,0,.---,0,"1-4 | 2B, K",0,0,2,0,1,0,0,1,0,0,1,0,4,0,0,0,1,0,0,0,-.--
139,678554,745107,6,4,1,0,0,.---,0,"1-3 | HBP, K",1,0,1,0,0,0,0,1,0,0,1,1,3,0,0,0,0,0,0,0,-.--
139,676609,745107,7,4,4,0,0,.---,0,"1-4 | HR, 2 K, RBI",0,1,0,1,0,0,1,2,0,0,1,0,4,0,0,1,3,0,0,0,4
139,642350,745107,8,3,0,0,0,.---,0,0-3 | 3 K,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,-.--
139,650907,745107,9,3,0,0,0,.---,0,"0-2 | BB, K",1,0,1,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,-.--
146,650333,747134,1,4,1,0,0,.---,0,1-4 | K,1,1,1,0,0,0,0,1,0,0,1,0,4,0,0,0,0,0,0,0,-.--
146,650559,747134,2,4,1,0,0,.---,0,1-4 | 2 K,0,1,0,0,0,0,0,2,0,0,1,0,4,0,0,0,0,0,0,0,-.--
146,665862,747134,3,4,3,0,0,.---,0,"2-4 | 2B, K",0,0,1,0,1,0,0,1,0,0,2,0,4,0,0,0,0,0,0,0,-.--
146,605137,747134,4,4,0,0,0,.---,0,0-3 | HBP,2,1,2,0,0,0,0,0,0,0,0,1,3,0,0,0,2,0,0,0,-.--
146,660821,747134,5,4,1,0,0,.---,0,1-4 | K,1,1,1,0,0,0,0,1,0,0,1,0,4,1,0,0,4,0,0,0,-.--
146,641313,747134,6,4,1,0,0,.---,0,1-4 | K,0,2,0,0,0,0,0,1,0,0,1,0,4,0,0,0,0,0,0,0,-.--
146,624503,747134,7,3,1,0,0,.---,0,1-3,0,2,0,0,0,0,0,0,0,0,1,0,3,0,0,0,2,0,0,0,-.--
146,656896,747134,8,3,1,0,0,.---,0,1-3,0,2,0,0,0,0,0,0,0,0,1,0,3,1,0,0,1,0,0,0,-.--
146,663743,747134,9,3,0,0,0,.---,0,0-3 | K,0,1,1,0,0,0,0,1,0,0,0,0,3,0,0,0,1,0,0,0,-.--
144,660670,747134,1,5,1,0,1,1,0,"1-5 | K, SB",1,2,1,0,0,0,0,1,0,0,1,0,5,0,0,0,3,0,0,0,-.--
144,606115,747134,2,4,3,0,0,.---,0,2-4 | 2B,1,1,1,0,1,0,0,0,0,0,2,0,4,0,0,0,1,0,0,0,-.--
144,663586,747134,3,4,0,0,0,.---,0,"0-3 | BB, K",2,0,2,0,0,0,0,1,1,0,0,0,3,0,0,0,2,0,0,0,-.--
144,621566,747134,4,4,0,0,0,.---,0,0-3 | BB,0,1,2,0,0,0,0,0,1,0,0,0,3,0,0,0,2,0,0,0,-.--
144,542303,747134,5,4,0,0,0,.---,0,"0-3 | BB, R",1,2,1,1,0,0,0,0,1,0,0,0,3,0,0,0,4,0,0,0,-.--
144,518595,747134,6,4,5,0,0,.---,0,"2-4 | HR, K, 2 RBI",0,1,0,1,0,0,1,1,0,0,2,0,4,0,0,2,0,0,0,0,4
144,594807,747134,7,4,0,0,0,.---,0,"0-3 | BB, K, R",0,1,1,1,0,0,0,1,1,0,0,0,3,0,0,0,1,0,0,0,-.--
144,671739,747134,8,4,2,0,2,1,0,2-4 | 2 SB,0,2,0,0,0,0,0,0,0,0,2,0,4,0,0,0,1,0,0,0,-.--
144,664058,747134,9,3,1,0,0,.---,0,1-3 | RBI,1,1,1,0,0,0,0,0,0,0,1,0,3,0,0,1,2,0,0,0,-.--
141,543807,746319,1,5,0,0,0,.---,0,0-5,1,4,1,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,-.--
141,665489,746319,2,4,1,0,0,.---,0,"1-3 | BB, K, R",0,1,0,1,0,0,0,1,1,0,1,0,3,0,0,0,0,0,0,0,-.--
141,666182,746319,3,4,3,0,0,.---,0,"1-4 | 3B, K, 3 RBI",1,0,2,0,0,1,0,1,0,0,1,0,4,0,0,3,1,0,0,0,-.--
141,457759,746319,4,4,0,0,0,.---,0,"0-2 | 2 BB, R",1,1,1,1,0,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,-.--
